"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
226942,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20","Mantys"
547382,"Director of Analytics","Anywhere","Full-time","336500.0","2023-08-23","Meta"
552322,"Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18","AT&T"
99305,"Data Analyst, Marketing","Anywhere","Full-time","232423.0","2023-12-05","Pinterest Job Advertisements"
1021647,"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17","Uclahealthcareers"
168310,"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09","SmartAsset"
731368,"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07","Inclusively"
310660,"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05","Motional"
1749593,"Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11","SmartAsset"
387860,"ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09","Get It Recruit - Information Technology"
1781684,"DTCC Data Analyst","Anywhere","Full-time","170000.0","2023-10-06","Robert Half"
987523,"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Anywhere","Contractor","170000.0","2023-01-23","Kelly Science, Engineering, Technology & Telecom"
1352513,"REMOTE Director of Data Analytics","Anywhere","Full-time","170000.0","2023-08-09","A-Line Staffing Solutions"
1525451,"Manager, Data Analyst","Anywhere","Full-time","167000.0","2023-04-18","Uber"
1246069,"Data Analyst","Anywhere","Full-time","165000.0","2023-12-08","Plexus Resource Solutions"
712473,"Data Analyst","Anywhere","Full-time","165000.0","2023-08-14","Get It Recruit - Information Technology"
1423236,"Principal Data Science Analyst- Remote","Anywhere","Full-time","164746.0","2023-01-13","Mayo Clinic"
1799883,"Principal Data Science Analyst- Remote","Anywhere","Full-time","164746.0","2023-04-14","Mayo Clinic"
618890,"Principal Data Intelligence Analyst - Cardiac - Remote","Anywhere","Full-time","163500.0","2023-09-20","CEDARS-SINAI"
918213,"Senior - Data Analyst","Anywhere","Full-time","160515.0","2023-06-14","DIRECTV"
182813,"Principal Data Analyst","Anywhere","Full-time","160000.0","2023-10-13","Get It Recruit - Information Technology"
475626,"Principal Data Analyst","Anywhere","Full-time","160000.0","2023-02-02","Realtime Recruitment"
783771,"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Anywhere","Full-time","160000.0","2023-01-30","Robert Half"
266799,"Applied Scientist - Maps","Anywhere","Full-time","157500.0","2023-10-13","Uber"
485388,"System Data Analyst","Anywhere","","157500.0","2023-07-17","Edgewater Federal Solutions, Inc."
25761,"Data Analyst - Remote","Anywhere","Full-time","155485.5","2023-09-01","CaptivateIQ"
105157,"Lead Data Analyst","Anywhere","Full-time","155000.0","2023-01-05","Motion Recruitment"
795614,"Staff Business Data Analyst (Remote U.S. OK)","Anywhere","Full-time","152625.0","2023-03-11","Zscaler"
565646,"Staff Business Data Analyst (Remote U.S. OK)","Anywhere","Full-time","152625.0","2023-03-07","Zscaler"
540057,"Lead Data Analyst, Growth (Remote)","Anywhere","Full-time","152500.0","2023-03-24","Rocket Money"
72957,"Management & Program Analyst (Data Analytics)","Anywhere","Full-time and Part-time","152221.5","2023-09-11","US Patent and Trademark Office"
456042,"Data Analyst","Anywhere","Full-time","151500.0","2023-09-25","Get It Recruit - Healthcare"
591850,"Mid-Level Data BI Analyst","Anywhere","Full-time","150000.0","2023-07-17","Patterned Learning AI"
73304,"Mid-Level Data Analyst","Anywhere","Full-time","150000.0","2023-07-05","Patterned Learning AI"
1402149,"Lead Data Analyst - Retirement Product Management","Anywhere","Full-time","148238.5","2023-05-09","Edward Jones"
1694004,"Manager - Data Analyst","Anywhere","Full-time","147285.0","2023-10-23","EXL Service"
712558,"Data Scientist Analyst","Anywhere","Full-time","145000.0","2023-02-13","ALTA IT Services"
1329162,"Data Analyst - up to 160K+","Anywhere","Full-time","145000.0","2023-04-18","Hire With Jarvis"
405581,"Data Analyst","Anywhere","Full-time","145000.0","2023-05-01","CyberCoders"
479485,"Data Analyst","Anywhere","Full-time","145000.0","2023-03-15","Level"
1275642,"Lead Data Analyst","Anywhere","Full-time","144481.5","2023-01-28","Edward Jones"
